BN,Band,Band_width_nm,Lower_edge_nm,Upper_edge_nm,Center_wavelength_nm,Sensor
1,CA,15.98,434.97,450.95,442.96,OLI
2,Blue,60.04,452.02,512.06,482.04,OLI
3,Green,57.33,532.74,590.07,561.41,OLI
4,Red,37.47,635.85,673.32,654.59,OLI
5,NIR,28.25,850.54,878.79,864.67,OLI
6,SWIR1,84.72,1566.5,1651.22,1608.86,OLI
7,SWIR2,186.66,2107.4,2294.06,2200.73,OLI
8,Pan,172.4,503.3,675.7,589.5,OLI
9,Cirrus,20.39,1363.24,1383.63,1373.43,OLI
1,CA,15.51,435.06,450.57,442.81,OLI-2
2,Blue,59.87,451.96,511.82,481.89,OLI-2
3,Green,56.5,532.71,589.2,560.95,OLI-2
4,Red,36.88,635.88,672.76,654.32,OLI-2
5,NIR,28.77,850.26,879.03,864.64,OLI-2
6,SWIR1,86.15,1565.08,1651.22,1608.15,OLI-2
7,SWIR2,189.48,2105.38,2294.86,2200.12,OLI-2
8,Pan,172.47,503.09,675.56,589.32,OLI-2
9,Cirrus,20.9,1363.68,1384.57,1374.13,OLI-2
