"Wavelength","rsr","stdev","band"
350,8.51706172e-09,4.24555457e-09,"Blue"
351,1.11605774e-08,7.12675874e-09,"Blue"
352,1.21040333e-08,6.43420428e-09,"Blue"
353,9.25067933e-09,5.7081837e-09,"Blue"
354,6.86045931e-09,3.53117402e-09,"Blue"
355,3.40520434e-09,1.74993298e-09,"Blue"
356,1.77658488e-09,8.98148278e-10,"Blue"
357,5.03304598e-09,2.29099051e-09,"Blue"
358,1.93775618e-09,1.37282996e-09,"Blue"
359,2.88416335e-09,2.08002615e-09,"Blue"
360,7.72759368e-09,2.47324672e-09,"Blue"
361,6.98970659e-09,2.76194978e-09,"Blue"
362,1.12088756e-08,5.34480771e-09,"Blue"
363,1.42136072e-08,3.86812404e-09,"Blue"
364,6.72684131e-09,1.82238924e-09,"Blue"
365,1.24092798e-08,4.41643611e-09,"Blue"
366,8.44870129e-09,1.82122739e-09,"Blue"
367,6.58274502e-09,1.3433733e-09,"Blue"
368,3.30803784e-09,9.45821865e-10,"Blue"
369,9.87392168e-10,6.55587362e-10,"Blue"
370,4.73329931e-10,2.06261883e-10,"Blue"
371,3.92037541e-10,6.89742222e-11,"Blue"
372,2.34889025e-10,4.10275251e-11,"Blue"
373,1.1957095e-10,1.60573829e-11,"Blue"
374,1.20880292e-10,7.60597557e-11,"Blue"
375,3.91546795e-10,2.03461692e-10,"Blue"
376,8.98827901e-10,1.63697958e-10,"Blue"
377,2.57444344e-10,1.11102127e-10,"Blue"
378,3.89652165e-11,9.81965204e-12,"Blue"
379,3.3085007e-11,5.51143159e-12,"Blue"
380,2.02686253e-11,7.52288423e-12,"Blue"
381,2.47091705e-11,6.60894299e-12,"Blue"
382,3.6797395e-11,9.03313882e-12,"Blue"
383,1.99857457e-11,1.58479774e-11,"Blue"
384,3.37443753e-11,2.03811065e-11,"Blue"
385,3.74422299e-11,1.14544936e-11,"Blue"
386,5.46018439e-11,2.85237754e-11,"Blue"
387,1.19035087e-10,3.90206617e-11,"Blue"
388,1.97719674e-10,1.073596e-10,"Blue"
389,1.15075949e-09,7.64180108e-10,"Blue"
390,5.25049337e-09,9.51136059e-10,"Blue"
391,6.52647714e-09,1.55656821e-09,"Blue"
392,1.18709709e-09,1.67446668e-10,"Blue"
393,1.00667297e-09,6.4561495e-11,"Blue"
394,5.68591063e-10,2.57876581e-10,"Blue"
395,8.68129124e-10,1.55663898e-10,"Blue"
396,1.10373721e-09,3.08435388e-10,"Blue"
397,1.58742053e-09,3.14801907e-10,"Blue"
398,2.46843412e-09,5.28121935e-10,"Blue"
399,3.81551413e-09,1.10248621e-09,"Blue"
400,5.94149485e-09,1.42965906e-09,"Blue"
401,9.75819248e-09,2.97230818e-09,"Blue"
402,1.80723561e-08,4.6507691e-09,"Blue"
403,3.21976685e-08,7.96756083e-09,"Blue"
404,6.38835189e-08,1.43980472e-08,"Blue"
405,1.27258019e-07,2.54289851e-08,"Blue"
406,2.51843261e-07,3.99878886e-08,"Blue"
407,4.89769889e-07,5.42095187e-08,"Blue"
408,9.80707227e-07,8.12588681e-08,"Blue"
409,1.93969981e-06,1.66464659e-07,"Blue"
410,3.6728386e-06,3.89839812e-07,"Blue"
411,6.40458347e-06,6.60721639e-07,"Blue"
412,1.00074312e-05,7.06546302e-07,"Blue"
413,1.3742907e-05,3.51653227e-07,"Blue"
414,1.67986855e-05,4.13834186e-07,"Blue"
415,1.8443774e-05,6.28946395e-07,"Blue"
416,1.82365638e-05,4.08845949e-07,"Blue"
417,1.69006107e-05,7.19238528e-07,"Blue"
418,1.52255034e-05,1.22175175e-06,"Blue"
419,1.37230509e-05,1.50285405e-06,"Blue"
420,1.21722996e-05,1.59183344e-06,"Blue"
421,1.10318506e-05,1.40904069e-06,"Blue"
422,1.01638861e-05,1.38468238e-06,"Blue"
423,9.79277502e-06,1.28787542e-06,"Blue"
424,9.65340041e-06,1.18149558e-06,"Blue"
425,9.89056389e-06,1.16185379e-06,"Blue"
426,1.02206404e-05,1.1226166e-06,"Blue"
427,1.11274439e-05,1.16227261e-06,"Blue"
428,1.22867496e-05,1.21273297e-06,"Blue"
429,1.39911344e-05,1.30439162e-06,"Blue"
430,1.62031556e-05,1.4816261e-06,"Blue"
431,1.91373074e-05,1.64102505e-06,"Blue"
432,2.33056726e-05,1.82866142e-06,"Blue"
433,2.90349581e-05,2.15321256e-06,"Blue"
434,3.6823214e-05,2.74224772e-06,"Blue"
435,4.79810587e-05,3.50728783e-06,"Blue"
436,6.41007864e-05,4.42417695e-06,"Blue"
437,8.79017389e-05,6.10714096e-06,"Blue"
438,0.000122882106,8.49802655e-06,"Blue"
439,0.000177559414,1.24010758e-05,"Blue"
440,0.000264651928,1.88759077e-05,"Blue"
441,0.000406088569,3.05047524e-05,"Blue"
442,0.000647573732,5.07450277e-05,"Blue"
443,0.00106270483,8.75206679e-05,"Blue"
