"Wavelength","rsr","stdev"
446,0.006869,0.000367
447,0.013212,0.000585
448,0.02717,0.001186
449,0.058606,0.002555
450,0.130876,0.006141
451,0.27137,0.012659
452,0.493542,0.019898
453,0.723971,0.019377
454,0.85751,0.011096
455,0.894222,0.004754
456,0.903034,0.003548
457,0.910928,0.003504
458,0.90988,0.003636
459,0.899475,0.003131
460,0.897977,0.003677
461,0.889667,0.00693
462,0.883542,0.010013
463,0.877453,0.011648
464,0.881011,0.011571
465,0.874721,0.009472
466,0.879688,0.006468
467,0.886569,0.004118
468,0.891913,0.003214
469,0.88768,0.002561
470,0.861157,0.003768
471,0.848533,0.004384
472,0.840828,0.002567
473,0.828339,0.004611
474,0.844202,0.007969
475,0.865864,0.00746
476,0.868497,0.004642
477,0.890253,0.003256
478,0.912538,0.004595
479,0.910385,0.004559
480,0.918822,0.00329
481,0.931726,0.002299
482,0.931813,0.002434
483,0.954248,0.002877
484,0.955545,0.003145
485,0.96242,0.003105
486,0.956424,0.002786
487,0.953352,0.002824
488,0.978564,0.00243
489,0.989104,0.002125
490,0.985615,0.002008
491,0.989469,0.003062
492,0.982262,0.003297
493,0.968801,0.004657
494,0.967332,0.009713
495,0.976836,0.013952
496,0.988729,0.011626
497,0.980826,0.004167
498,0.967361,0.005395
499,0.954754,0.002634
500,0.964132,0.004563
501,0.966125,0.00597
502,0.966772,0.002722
503,0.981834,0.006369
504,0.98232,0.00869
505,0.965685,0.004861
506,0.963135,0.007665
507,0.972261,0.015734
508,0.996498,0.01406
509,1,0.007425
510,0.9556,0.007475
511,0.844893,0.013412
512,0.534592,0.035112
513,0.190738,0.02464
514,0.048329,0.007771
515,0.013894,0.002572
516,0.005328,0.001211
524,0.007024,0.000266
525,0.010441,0.000347
526,0.016247,0.000495
527,0.025513,0.000751
528,0.041451,0.001249
529,0.070551,0.002254
530,0.123444,0.004148
531,0.21168,0.007046
532,0.353885,0.010847
533,0.545856,0.013434
534,0.741205,0.012004
535,0.865225,0.006964
536,0.927396,0.003757
537,0.954627,0.002951
538,0.954163,0.002802
539,0.959215,0.002718
540,0.961328,0.002714
541,0.964902,0.002708
542,0.969873,0.002588
543,0.952489,0.003426
544,0.961397,0.003168
545,0.97827,0.002323
546,0.977533,0.002266
547,0.977001,0.001816
548,0.980884,0.001408
549,0.990784,0.000915
550,1,0.000282
551,0.992264,0.001045
552,0.982642,0.001703
553,0.983832,0.001861
554,0.977765,0.001984
555,0.965081,0.002449
556,0.957314,0.002903
557,0.946245,0.003099
558,0.947871,0.00324
559,0.959038,0.002449
560,0.966534,0.002286
561,0.977656,0.001648
562,0.966447,0.001968
563,0.953399,0.002548
564,0.958314,0.002526
565,0.970039,0.002366
566,0.978607,0.002373
567,0.983397,0.002438
568,0.98096,0.002474
569,0.974522,0.00258
570,0.967229,0.002956
571,0.979406,0.002703
572,0.978208,0.002968
573,0.975818,0.00333
574,0.974392,0.003634
575,0.979973,0.003144
576,0.968827,0.003495
577,0.969181,0.003109
578,0.967838,0.003323
579,0.982956,0.00309
580,0.979598,0.003248
581,0.963811,0.003836
582,0.968886,0.003838
583,0.983655,0.003226
584,0.986657,0.003208
585,0.974207,0.003701
586,0.946407,0.005001
587,0.904478,0.006785
588,0.809275,0.00929
589,0.684974,0.011541
590,0.525304,0.013513
591,0.345364,0.013662
592,0.190467,0.010577
593,0.087833,0.005865
594,0.035393,0.002454
595,0.014077,0.00101
596,0.005944,0.000452
630,0.007197,0.000668
631,0.014515,0.001066
632,0.030432,0.002135
633,0.066861,0.004894
634,0.148518,0.010724
635,0.299778,0.020014
636,0.526812,0.02582
637,0.764443,0.021512
638,0.905473,0.010452
639,0.947949,0.005548
640,0.950823,0.005701
641,0.947418,0.005444
642,0.951831,0.004804
643,0.962705,0.004118
644,0.975075,0.003013
645,0.984173,0.001838
646,0.983613,0.002307
647,0.983434,0.002691
648,0.982911,0.00372
649,0.973636,0.00484
650,0.959441,0.004656
651,0.955641,0.00399
652,0.955548,0.004097
653,0.953337,0.004213
654,0.956628,0.003756
655,0.981688,0.00234
656,1,0.00189
657,0.992388,0.002291
658,0.984615,0.003594
659,0.981568,0.004231
660,0.97696,0.004185
661,0.97298,0.003738
662,0.98108,0.003333
663,0.996804,0.003162
664,0.992142,0.00321
665,0.980678,0.002543
